node_id	node_name	node_type	node_name_type	tsne1	tsne2	tsne3
C0149520	Cholecystitis acute	SideEffect	Cholecystitis acute - SideEffect	-63.38908271175353	22.08918320998777	41.34367113369113
DB09143	Sonidegib	Compound	Sonidegib - Compound	29.278950186320746	-5.619016510581615	14.575398702064325
DOID:13477	balanitis xerotica obliterans	Disease	balanitis xerotica obliterans - Disease	29.752941728065373	-35.221267522454475	-4.351591393440097
DOID:3996	urinary system cancer	Disease	urinary system cancer - Disease	-3.935320983870081	-29.605111411415773	-15.72270522603309
DB00441	Gemcitabine	Compound	Gemcitabine - Compound	45.99835645062946	8.388181037463427	13.732276085005
DB04845	Ixabepilone	Compound	Ixabepilone - Compound	28.34209693550124	-8.271664558906556	13.662436014556212
DOID:0110938	autosomal dominant osteopetrosis 2	Disease	autosomal dominant osteopetrosis 2 - Disease	36.84924080620438	-24.898764399364648	-34.47551879015364
D006606	Hiccup	Symptom	Hiccup - Symptom	34.43187817782081	-9.450258758016101	-27.228745679029675
C0028077	Night blindness	SideEffect	Night blindness - SideEffect	-50.02461308472043	33.1217162917183	36.98108034154978
DOID:450	myotonic disease	Disease	myotonic disease - Disease	41.336563239697696	1.1356674986320239	-50.54857413652698
DOID:127	leiomyoma	Disease	leiomyoma - Disease	28.441743871641535	-29.0162764349408	5.8806762399065
DOID:4776	rapidly progressive glomerulonephritis	Disease	rapidly progressive glomerulonephritis - Disease	-19.28096151487375	-16.228437520922565	-19.592108015927998
DOID:0110949	Waardenburg syndrome type 3	Disease	Waardenburg syndrome type 3 - Disease	-9.658783011748305	-12.258666803244315	-33.02631157859638
DOID:9513	plasmacytic leukemia	Disease	plasmacytic leukemia - Disease	39.52241666487744	-8.841213832068188	8.682625708617211
DOID:11243	anemia of prematurity	Disease	anemia of prematurity - Disease	1.4946614202188824	-13.847046121461638	-11.932517949424236
DOID:14453	farmer's lung	Disease	farmer's lung - Disease	54.33569262834587	-2.2486732394203264	-10.394699865809796
DOID:1766	factitious disorder	Disease	factitious disorder - Disease	-1.1732640126791485	-15.83801709863436	-26.558283551537333
C0000814	Abortion missed	SideEffect	Abortion missed - SideEffect	-63.389082060057135	22.089183196476	41.34367114388028
DOID:2349	arteriosclerosis	Disease	arteriosclerosis - Disease	16.42531655263038	6.518379811483204	21.181471392367154
DOID:9346	Taylor's syndrome	Disease	Taylor's syndrome - Disease	-4.3872313439855475	-14.806050049243662	-24.10359932615
DOID:1240	leukemia	Disease	leukemia - Disease	39.39866279634475	-6.567563493582297	11.31603174064596
DOID:14336	estrogen excess	Disease	estrogen excess - Disease	2.3444525428500893	-17.12259658049724	-23.19972645504964
DOID:2449	acromegaly	Disease	acromegaly - Disease	28.77304382047461	-18.454937108643986	-20.754653686923486
DB04844	Tetrabenazine	Compound	Tetrabenazine - Compound	11.26500778113608	25.562469798221095	43.57266668409169
DOID:0090080	hypogonadotropic hypogonadism 16 with or without anosmia	Disease	hypogonadotropic hypogonadism 16 with or without anosmia - Disease	-15.482411888796019	-56.536444748349275	-13.472681962274669
DOID:8283	peritonitis	Disease	peritonitis - Disease	24.6220926788429	-21.365767129741254	1.7988550215864674
DB06402	Telavancin	Compound	Telavancin - Compound	36.906892530469335	61.144113357824715	33.43042315773382
DOID:0110753	type 1 diabetes mellitus 15	Disease	type 1 diabetes mellitus 15 - Disease	0.162782192094326	-2.724036595051844	-9.11834085241399
C0035410	Rhabdomyolysis	SideEffect	Rhabdomyolysis - SideEffect	-44.463181012439755	24.191530944288267	25.093034746918477
DOID:0110793	hereditary spastic paraplegia 41	Disease	hereditary spastic paraplegia 41 - Disease	-9.356398983530985	-26.18235456138471	-55.72127049667376
DB01173	Orphenadrine	Compound	Orphenadrine - Compound	20.15546396212157	31.411186616401796	39.612104496819406
DB06441	Cangrelor	Compound	Cangrelor - Compound	31.376846258045553	11.4723227474648	35.56851983126747
DOID:0090001	Fraser syndrome	Disease	Fraser syndrome - Disease	-4.973023664743743	-28.784501204357575	-54.450810716539685
DB00900	Didanosine	Compound	Didanosine - Compound	29.588523285973086	50.87285073198185	31.900495346441957
C0024117	Chronic obstructive pulmonary disease	SideEffect	Chronic obstructive pulmonary disease - SideEffect	-63.90784353842415	26.781909528401794	33.4505151837928
C0025958	Microcephaly	SideEffect	Microcephaly - SideEffect	-43.82707168977316	3.4748481909133853	22.117728403350654
CHEMBL1369407	CHEMBL1369407	Compound	CHEMBL1369407 - Compound	-33.3293989828833	14.455950874738528	45.356721103249775
DOID:0070126	congenital nongoitrous hypothyroidism 1	Disease	congenital nongoitrous hypothyroidism 1 - Disease	7.076108902733222	-16.535777986248885	-22.406781200277774
DOID:1556	arthus reaction	Disease	arthus reaction - Disease	54.578975388750095	-18.805646588156023	-11.951222105297576
DOID:0111044	gray platelet syndrome	Disease	gray platelet syndrome - Disease	9.868507916384248	-6.852281345374011	5.682417346995654
C0003126	Anosmia	SideEffect	Anosmia - SideEffect	-58.84084398589962	12.670711219297994	30.457276872551674
DOID:1068	juvenile glaucoma	Disease	juvenile glaucoma - Disease	-13.468183653575139	-10.485906539084372	-36.77174038518228
DOID:11379	gnathomiasis	Disease	gnathomiasis - Disease	44.147500241835594	-18.060784176571072	0.6277728807919056
DOID:0110353	retinitis pigmentosa 20	Disease	retinitis pigmentosa 20 - Disease	-2.629126638832525	11.836484994700566	-11.966056932076677
C0475319	Pelvic haematoma	SideEffect	Pelvic haematoma - SideEffect	-36.86705237472256	2.35705527076726	39.26949168121179
DOID:862	diplegia of upper limb	Disease	diplegia of upper limb - Disease	9.977632636644751	16.395159392674262	-30.691970528168994
DOID:9210	geniculate herpes zoster	Disease	geniculate herpes zoster - Disease	36.41628937554002	-13.106840580352438	-42.32330271212929
DOID:12298	intrahepatic gall duct cancer	Disease	intrahepatic gall duct cancer - Disease	22.743937501566034	-17.27507076563548	5.22683919847363
DOID:8929	atrophic gastritis	Disease	atrophic gastritis - Disease	21.990020827975925	-16.362257672998712	-4.050240428881287
DOID:11028	pseudopterygium	Disease	pseudopterygium - Disease	-3.7978929914216497	-18.03576485202079	-2.927434562097666
DOID:13561	optic disk drusen	Disease	optic disk drusen - Disease	28.894039735332512	15.583591348198585	-24.321379279039228
DOID:5403	microcystic adenoma	Disease	microcystic adenoma - Disease	28.113356700681205	-18.20095908284852	-17.418814640096667
DOID:3178	skin papilloma	Disease	skin papilloma - Disease	-15.72993572155823	-29.7586263804461	-20.669270982783154
DOID:10538	gastric fundus cancer	Disease	gastric fundus cancer - Disease	27.326360698923853	-15.18210391785145	12.323443304932907
DOID:0060679	catecholaminergic polymorphic ventricular tachycardia 5	Disease	catecholaminergic polymorphic ventricular tachycardia 5 - Disease	-20.906526534625964	-37.31368699973711	-45.232797143308076
C0027813	Neuritis	SideEffect	Neuritis - SideEffect	-66.34712071423515	6.0624415152883016	40.792614942733955
DOID:7527	acute gonococcal endometritis	Disease	acute gonococcal endometritis - Disease	38.024519037498166	65.78812583854962	30.93673752303993
C0011615	Dermatitis atopic	SideEffect	Dermatitis atopic - SideEffect	-53.715148828521976	20.642744559581004	29.729798239095913
DOID:417	autoimmune hypersensitivity disease	Disease	autoimmune hypersensitivity disease - Disease	5.2531598965564	-16.99214656701059	-16.313965926276797
C0233762	Hallucination, auditory	SideEffect	Hallucination, auditory - SideEffect	-70.68141058198681	22.78178090285716	30.45812794849494
DOID:12549	hepatitis A	Disease	hepatitis A - Disease	27.342802987340487	-7.888045680404001	0.6969588412087516
DB01029	Irbesartan	Compound	Irbesartan - Compound	22.4589083937186	5.781124844435594	44.954724404978165
DB00804	Dicyclomine	Compound	Dicyclomine - Compound	19.78912903239252	26.801487394105223	39.76063664274949
DOID:0060875	isolated growth hormone deficiency type III	Disease	isolated growth hormone deficiency type III - Disease	2.7748445315593715	-13.179715561408818	-36.609327118360646
DOID:1799	islet cell tumor	Disease	islet cell tumor - Disease	26.805375301673067	-19.043793340149225	-14.032547225217252
DOID:0110275	autosomal recessive limb-girdle muscular dystrophy type 2A	Disease	autosomal recessive limb-girdle muscular dystrophy type 2A - Disease	-5.536953597284642	-40.65819723826001	-42.837386327637304
DB00300	Tenofovir disoproxil	Compound	Tenofovir disoproxil - Compound	30.199142623366004	48.576978088013874	29.993089978448296
CHEMBL311498	CHEMBL311498	Compound	CHEMBL311498 - Compound	22.404369339621397	30.043324466221467	10.524823638565215
DOID:13068	renal osteodystrophy	Disease	renal osteodystrophy - Disease	22.26433365925512	-10.787907200349938	-13.154258142170926
DB08913	Radium Ra 223 Dichloride	Compound	Radium Ra 223 Dichloride - Compound	27.733638637931165	-5.311548452168003	16.44184834292483
DOID:0060890	ectopic Cushing syndrome	Disease	ectopic Cushing syndrome - Disease	0.7737797428566202	-14.76095715482699	-23.275902457671155
DB00645	Dyclonine	Compound	Dyclonine - Compound	17.728120378270017	26.52487028781643	31.170554617118448
DOID:0111033	African iron overload	Disease	African iron overload - Disease	1.6701363820458357	-11.202387164505145	-16.355252630448017
DOID:3690	brachial plexus neuropathy	Disease	brachial plexus neuropathy - Disease	46.343421878929384	-9.960310261338975	-41.5244036677474
C0035067	Renal artery stenosis	SideEffect	Renal artery stenosis - SideEffect	-66.71973737541069	29.662632064111914	27.991374136653658
DOID:10188	skin lipoma	Disease	skin lipoma - Disease	-15.121593569593829	-30.45624704377556	-23.96241415265333
C0006142	Breast cancer	SideEffect	Breast cancer - SideEffect	-50.2839556383943	15.638914998595498	42.928272319423165
C0003962	Ascites	SideEffect	Ascites - SideEffect	-61.451474280018495	27.130034485817042	14.544762935450972
C0038002	Splenomegaly	SideEffect	Splenomegaly - SideEffect	-64.79071955690223	13.716118003327825	9.510929910095806
D012913	Snoring	Symptom	Snoring - Symptom	23.368716680073906	-7.568272919624641	-33.25290853019017
C0042109	Urticaria	SideEffect	Urticaria - SideEffect	-31.18121363372461	9.579274991193907	38.36327048221838
DOID:0060181	ischemic colitis	Disease	ischemic colitis - Disease	26.307065825303383	-23.58140483966463	0.7954813863866871
DOID:0110712	Oguchi disease-1	Disease	Oguchi disease-1 - Disease	4.251915366499047	18.325809083240888	-17.320157804048453
DOID:9663	aphthous stomatitis	Disease	aphthous stomatitis - Disease	49.65718406722066	-24.15294581750996	-18.59790565572332
DOID:8738	leukoplakia of penis	Disease	leukoplakia of penis - Disease	31.50780132155613	-35.418010653255784	-2.8987088859011116
DB09134	Ioversol	Compound	Ioversol - Compound	48.121976962634136	22.77920101713209	30.586614110390336
C0232492	Abdominal pain upper	SideEffect	Abdominal pain upper - SideEffect	-26.26190006690014	9.251975123078156	32.15284499487975
DOID:13533	osteopetrosis	Disease	osteopetrosis - Disease	36.46671012250196	-26.684530105941466	-35.33713237044977
DOID:10567	late yaws	Disease	late yaws - Disease	60.13148166903654	3.3094089614374833	-20.680300857350705
DOID:12306	vitiligo	Disease	vitiligo - Disease	52.38035140232744	-22.229913155549067	-3.3969130272234933
CHEMBL1213490	CHEMBL1213490	Compound	CHEMBL1213490 - Compound	33.56115094015189	-0.42119206698501505	17.039115709846346
DB06626	Axitinib	Compound	Axitinib - Compound	31.403909757659335	-8.752628509470298	15.308244133347367
DB00906	Tiagabine	Compound	Tiagabine - Compound	9.645729048768043	27.17774195434224	30.927887955524678
C0236663	Alcohol withdrawal syndrome	SideEffect	Alcohol withdrawal syndrome - SideEffect	-63.39527074635433	22.09220314695857	41.34139132416314
C0242379	Lung neoplasm malignant	SideEffect	Lung neoplasm malignant - SideEffect	-63.29033191100791	31.442273868663854	21.921654619196655
C0149725	Lower respiratory tract infection	SideEffect	Lower respiratory tract infection - SideEffect	-54.08427143527365	15.914000662065835	20.17233345202157
DOID:11299	vertebral artery occlusion	Disease	vertebral artery occlusion - Disease	-5.805560235729374	-9.7885123944284	-25.45860613840701
C0149741	Breast discharge	SideEffect	Breast discharge - SideEffect	-49.06563452549062	17.55007590392113	41.57611730996982
DOID:0040092	juvenile ankylosing spondylitis	Disease	juvenile ankylosing spondylitis - Disease	-18.432071988467595	-11.8346764042035	-20.124808184573396
C0239377	Pain in arm	SideEffect	Pain in arm - SideEffect	-52.28472105797718	0.8842903689222096	22.3420102039252
C0004690	Balanitis	SideEffect	Balanitis - SideEffect	-56.52039146088459	33.722751957900144	13.52076987813588
DOID:1614	male breast cancer	Disease	male breast cancer - Disease	15.716262687581347	-28.118320884760728	-4.315432887082188
C0332563	Papule	SideEffect	Papule - SideEffect	-52.918149897702634	7.01649411544695	24.318043816988432
DOID:0110967	brachydactyly type A4	Disease	brachydactyly type A4 - Disease	-2.4874128533019992	-26.005010417508878	-39.542175278575954
DOID:12785	diabetic polyneuropathy	Disease	diabetic polyneuropathy - Disease	49.499013619295745	-5.228722415545989	-40.510117756994504
C0009376	Colonic polyp	SideEffect	Colonic polyp - SideEffect	-29.554522104361833	19.776913483630548	38.89357329369135
DOID:0110531	autosomal recessive nonsyndromic deafness 85	Disease	autosomal recessive nonsyndromic deafness 85 - Disease	-102.86996749812454	-45.4210296292754	-3.079485559886379
DB01233	Metoclopramide	Compound	Metoclopramide - Compound	11.50454397328305	34.714619072393205	46.69732432227726
DB06800	Methylnaltrexone	Compound	Methylnaltrexone - Compound	19.365213011769402	27.280802905733047	28.649196284165708
C0154002	Benign vaginal neoplasm	SideEffect	Benign vaginal neoplasm - SideEffect	-49.846058680243154	17.318410079347974	36.92740259979378
DB00178	Ramipril	Compound	Ramipril - Compound	24.831703043256443	6.5867138842618145	46.5739292041882
DOID:4751	striatonigral degeneration	Disease	striatonigral degeneration - Disease	28.288406624813025	7.212077935546981	-43.90050868289766
DOID:0060859	salmonellosis	Disease	salmonellosis - Disease	-16.005412582690546	-11.54038627507991	-8.961845656593717
C0008031	Chest pain	SideEffect	Chest pain - SideEffect	-30.660774551793722	7.873134825381088	37.76592568586656
DOID:0070128	congenital nongoitrous hypothyroidism 6	Disease	congenital nongoitrous hypothyroidism 6 - Disease	23.60161778195448	-11.920607028551245	-21.449710921038584
DB00802	Alfentanil	Compound	Alfentanil - Compound	17.91491472158145	26.000600435450096	27.89022921258318
DOID:8549	chronic ulcer of skin	Disease	chronic ulcer of skin - Disease	-13.979445335970581	-8.652054259912356	-23.299959123032274
C0004610	Bacteraemia	SideEffect	Bacteraemia - SideEffect	-62.88332027577023	9.331169057032419	16.909418498847877
DOID:1920	hyperuricemia	Disease	hyperuricemia - Disease	20.81892417836981	6.148807937766304	44.16145857410235
C0700292	Hypoxemia	SideEffect	Hypoxemia - SideEffect	-54.46950628350807	14.310476775337515	16.607705958261732
DOID:731	urinary system benign neoplasm	Disease	urinary system benign neoplasm - Disease	17.740951719213395	-31.36690262977139	-0.6847969645219061
DOID:4908	anal carcinoma	Disease	anal carcinoma - Disease	33.17465818725139	-29.645853337425066	-2.8332956188007765
DB00027	Gramicidin D	Compound	Gramicidin D - Compound	39.65051559007722	60.1059845799728	34.04043824485585
DOID:9779	bowel dysfunction	Disease	bowel dysfunction - Disease	-6.262328151331625	3.071344473131811	-26.596044668594654
DOID:0111060	Ambras type hypertrichosis universalis congenita	Disease	Ambras type hypertrichosis universalis congenita - Disease	-10.864988890104522	-26.61752488139704	-15.121918258127497
DOID:0050746	mantle cell lymphoma	Disease	mantle cell lymphoma - Disease	37.893959308957264	-10.66391020782604	10.18020989694275
DOID:0060392	chromosome 14q11-q22 deletion syndrome	Disease	chromosome 14q11-q22 deletion syndrome - Disease	-15.533891792703647	-26.49709704900906	-33.72703024444801
DB00525	Tolnaftate	Compound	Tolnaftate - Compound	35.51312870022388	56.34000409297402	38.818373087600904
DOID:3326	purpura	Disease	purpura - Disease	41.082551812934184	-5.788007412648639	-3.089225822307176
DOID:2580	rhizomelic chondrodysplasia punctata	Disease	rhizomelic chondrodysplasia punctata - Disease	7.020639905090853	-11.12892859050265	-41.982836195641646
DOID:12171	radial neuropathy	Disease	radial neuropathy - Disease	48.98111221505235	-10.16968234812821	-40.32010721764845
C0149756	Plantar fasciitis	SideEffect	Plantar fasciitis - SideEffect	-58.98952835993916	17.977043994465202	31.126048835667536
C0474378	Hair colour changes	SideEffect	Hair colour changes - SideEffect	-55.23497545105232	31.805322438315997	32.08623154645397
C0030848	Peyronie's disease	SideEffect	Peyronie's disease - SideEffect	-49.83976847754001	0.7438154744543419	39.302965528050926
DOID:3127	proctitis	Disease	proctitis - Disease	31.90796426395049	-32.80912676912156	0.04219690246740007
CHEMBL13239	CHEMBL13239	Compound	CHEMBL13239 - Compound	-42.966606116086375	9.480015764391695	17.28034547773688
DOID:3264	subacute leukemia	Disease	subacute leukemia - Disease	39.40114467759889	-6.560644612434623	11.340319490675421
DOID:11752	acute endophthalmitis	Disease	acute endophthalmitis - Disease	-16.314870922287433	-4.3142832676985385	-22.532740343820475
DB08867	Ulipristal	Compound	Ulipristal - Compound	21.56054704508037	-13.314553251591445	19.890182091791544
DOID:1176	bronchial disease	Disease	bronchial disease - Disease	54.281968257271124	-7.288309867031757	-14.61935101282642
DOID:222	perichondritis of auricle	Disease	perichondritis of auricle - Disease	41.31550099931111	63.79252262276645	21.00395983903168
DOID:12556	acute kidney tubular necrosis	Disease	acute kidney tubular necrosis - Disease	20.208905468830512	-2.4058710564464723	-3.7828129918374476
DB00979	Cyclopentolate	Compound	Cyclopentolate - Compound	20.420793847833302	25.391501624399318	38.16532846782016
C0009398	Defective colour vision	SideEffect	Defective colour vision - SideEffect	-46.75605260205151	-0.08794820927051555	38.51336626564171
C0017551	Gilbert's syndrome	SideEffect	Gilbert's syndrome - SideEffect	-46.12499844045319	29.11451145065302	15.784663737056249
DOID:0110016	Leber congenital amaurosis 2	Disease	Leber congenital amaurosis 2 - Disease	6.429164375564547	13.229230667542108	-19.897409272786764
DOID:11175	enophthalmos	Disease	enophthalmos - Disease	38.96460795266134	14.691872224164529	-36.57214797014422
DOID:2388	renal artery disease	Disease	renal artery disease - Disease	-5.7432641126103166	-5.848960042090339	-19.24155613023038
DB00258	Calcium Acetate	Compound	Calcium Acetate - Compound	28.587881439203294	17.2974609408484	23.79230912877734
DOID:0110358	retinitis pigmentosa 12	Disease	retinitis pigmentosa 12 - Disease	-1.9420302869663817	15.559215995284674	-12.78068479001518
DOID:3875	thrombophlebitis	Disease	thrombophlebitis - Disease	24.401423296915205	-18.248877441072526	20.555010377890536
DB00829	Diazepam	Compound	Diazepam - Compound	10.02280666726839	24.806359490436037	33.224835303688536
DB00360	Sapropterin	Compound	Sapropterin - Compound	34.5290917474356	38.313437731709875	32.08468064896231
C0010038	Corneal opacity	SideEffect	Corneal opacity - SideEffect	-62.395798826052236	35.30107880648998	12.115520800637995
DOID:12385	shigellosis	Disease	shigellosis - Disease	30.079605607137395	-20.76611492546436	4.878394158451405
DOID:0110476	autosomal recessive nonsyndromic deafness 1B	Disease	autosomal recessive nonsyndromic deafness 1B - Disease	-105.5915754001795	-48.92303263806903	-4.534561649819523
DOID:0070124	congenital nongoitrous hypothyroidism 2	Disease	congenital nongoitrous hypothyroidism 2 - Disease	23.601617783767708	-11.920607026940777	-21.44971091843925
C0085639	Fall	SideEffect	Fall - SideEffect	-66.3935416994285	29.95974666781578	25.48975210813156
DOID:13564	aspergillosis	Disease	aspergillosis - Disease	55.92813450120622	-9.565290442472126	-14.990618122976379
CHEMBL2105743	CHEMBL2105743	Compound	CHEMBL2105743 - Compound	19.325772007166194	22.147970884450096	43.79236595586436
DOID:13825	squamous blepharitis	Disease	squamous blepharitis - Disease	68.21205840478628	-10.821662503013641	-20.307629364469605
C0220870	Lightheadedness	SideEffect	Lightheadedness - SideEffect	-40.869518156854895	14.657811264808892	27.213057899636304
DB00982	Isotretinoin	Compound	Isotretinoin - Compound	42.73891837888774	12.947806649188802	18.388061110645722
C0037317	Sleep disturbance	SideEffect	Sleep disturbance - SideEffect	-61.262090690003596	9.19366002415879	32.50466701911441
DOID:8252	chronic rhinitis	Disease	chronic rhinitis - Disease	-9.421142937321555	-12.538752436282767	-9.215693946713802
C0014065	Encephalocele	SideEffect	Encephalocele - SideEffect	-61.29962677321583	19.602948453248818	1.060480474405816
C0549567	Pigmentation disorder	SideEffect	Pigmentation disorder - SideEffect	-55.78595181786041	10.467524399084484	13.725322622411687
DOID:13317	hyperinsulinemic hypoglycemia	Disease	hyperinsulinemic hypoglycemia - Disease	7.611767941438296	-4.220044260424216	-15.475749620522304
DB04854	Febuxostat	Compound	Febuxostat - Compound	22.45500467560352	8.896205053301367	44.43916881019288
D001308	Auditory Perceptual Disorders	Symptom	Auditory Perceptual Disorders - Symptom	27.83838679781834	-2.7533796469422676	-38.03872502444721
DB01839	Propylene glycol	Compound	Propylene glycol - Compound	67.1919325228223	-9.614979073522244	-18.42744493811692
DOID:0110188	Leber congenital amaurosis 14	Disease	Leber congenital amaurosis 14 - Disease	9.014515752139292	17.757508034884836	-20.88627252147995
DOID:0070132	autosomal recessive cutis laxa type IIIA	Disease	autosomal recessive cutis laxa type IIIA - Disease	-4.450644932604385	-33.3848306142787	-61.41287768822944
DOID:0060656	autosomal recessive congenital ichthyosis 1	Disease	autosomal recessive congenital ichthyosis 1 - Disease	57.60803680112562	-33.00707389368618	-10.328918875865252
DB01077	Etidronic acid	Compound	Etidronic acid - Compound	28.148630094794267	1.3443627574225665	19.4588543094072
DB00478	Rimantadine	Compound	Rimantadine - Compound	25.245279130894833	45.370482903160905	37.78857901300651
DOID:4284	anal margin carcinoma	Disease	anal margin carcinoma - Disease	40.69617394449326	-33.64742898858806	-6.888524168259768
DOID:0060427	chromosome Xp21 deletion syndrome	Disease	chromosome Xp21 deletion syndrome - Disease	-15.7719042602951	-24.93845754954382	-34.65264848588874
DOID:0110975	brachydactyly type B2	Disease	brachydactyly type B2 - Disease	-15.91550027493411	-17.145339345583476	-32.77374893602795
DOID:0070210	hereditary lymphedema IA	Disease	hereditary lymphedema IA - Disease	-13.128067177226999	-24.97596152484423	-27.82244233009771
DOID:11990	ulceroglandular tularemia	Disease	ulceroglandular tularemia - Disease	-12.47057069444888	-11.761531464349035	-20.06336026345928
DB00130	L-Glutamine	Compound	L-Glutamine - Compound	31.74032330271691	11.568652487242405	21.160349185193198
D018437	Brown-Sequard Syndrome	Symptom	Brown-Sequard Syndrome - Symptom	42.863092918968185	-11.954591181782668	-32.56747631383771
