node	node_name	node_type
DOID:5845	anterolateral myocardial infarction	Disease
8491	MAP4K3	Gene
28964	GIT1	Gene
DB00355	Aztreonam	Compound
84639	IL1F10	Gene
29035	C16orf72	Gene
Q14416	GRM2_HUMAN	Protein
93474	ZNF670	Gene
55359	STYK1	Gene
CHEMBL2109204	CHEMBL2109204	Compound
D012597	Sclerosing Solutions	PharmacologicClass
55785	FGD6	Gene
678	ZFP36L2	Gene
151963	MB21D2	Gene
DOID:0040046	nickel allergic contact dermatitis	Disease
DOID:13372	alpha 1-antitrypsin deficiency	Disease
11143	KAT7	Gene
DOID:0060074	ductal carcinoma in situ	Disease
DOID:0050475	Weill-Marchesani syndrome	Disease
C0006852	Vaginal moniliasis	SideEffect
DOID:0050698	funisitis	Disease
DOID:11678	onchocerciasis	Disease
DOID:3282	dendritic cell thymoma	Disease
646643	SBK2	Gene
GO:0051091	positive regulation of DNA-binding transcription factor activity	BiologicalProcess
DOID:0110434	dilated cardiomyopathy 1Z	Disease
51233	DRICH1	Gene
C0007758	Cerebellar ataxia	SideEffect
CHEMBL1201295	CHEMBL1201295	Compound
10454	TAB1	Gene
GO:0042393	histone binding	MolecularFunction
UBERON:0003680	posterior cruciate ligament of knee joint	Anatomy
23072	HECW1	Gene
143384	CACUL1	Gene
27330	RPS6KA6	Gene
DOID:0110720	neuronal ceroid lipofuscinosis 4B	Disease
3882	KRT32	Gene
914	CD2	Gene
N0000175825	Estrogen	PharmacologicClass
1113	CHGA	Gene
8542	APOL1	Gene
1048	CEACAM5	Gene
10079	ATP9A	Gene
DOID:0110258	cataract 10 multiple types	Disease
CHEMBL1200776	CHEMBL1200776	Compound
345557	PLCXD3	Gene
C0032617	Polyuria	SideEffect
50604	IL20	Gene
DOID:6676	Froelich syndrome	Disease
51439	FAM8A1	Gene
DOID:1360	frontal sinus cancer	Disease
3558	IL2	Gene
DOID:4233	clear cell sarcoma	Disease
754	PTTG1IP	Gene
5298	PI4KB	Gene
146850	PIK3R6	Gene
GO:0010817	regulation of hormone levels	BiologicalProcess
UBERON:0003889	fallopian tube	Anatomy
5575	PRKAR1B	Gene
Q12884	SEPR_HUMAN	Protein
11316	COPE	Gene
DOID:0110498	autosomal recessive nonsyndromic deafness 4	Disease
55248	TMEM206	Gene
6857	SYT1	Gene
D065092	Antidiuretic Hormone Receptor Antagonists	PharmacologicClass
DOID:7224	spinal meninges cancer	Disease
633	BGN	Gene
56245	C21orf62	Gene
DB09245	Toloxatone	Compound
58476	TP53INP2	Gene
8076	MFAP5	Gene
22900	CARD8	Gene
DOID:3158	hand dermatosis	Disease
DOID:9847	peripheral vertigo	Disease
DOID:0060287	cornea plana	Disease
UBERON:0003729	mouth mucosa	Anatomy
DB06176	Romidepsin	Compound
11221	DUSP10	Gene
10922	FASTK	Gene
1630	DCC	Gene
Q9BTU6	P4K2A_HUMAN	Protein
282991	BLOC1S2	Gene
22832	CEP162	Gene
DOID:3047	Wissler's syndrome	Disease
7296	TXNRD1	Gene
C0151717	Skin hypertrophy	SideEffect
N0000007889	Glycopeptides	PharmacologicClass
DOID:8645	subacute delirium	Disease
57045	TWSG1	Gene
2873	GPS1	Gene
659	BMPR2	Gene
65979	PHACTR4	Gene
O60658	PDE8A_HUMAN	Protein
CHEMBL676	CHEMBL676	Compound
DOID:0050559	Fukuyama congenital muscular dystrophy	Disease
Q9NXA8	SIR5_HUMAN	Protein
N0000181815	Sphingosine 1-Phosphate Receptor Modulators	PharmacologicClass
DOID:10283	prostate cancer	Disease
CHEMBL550495	CHEMBL550495	Compound
D017366	Serotonin Receptor Agonists	PharmacologicClass
UBERON:0000363	reticuloendothelial system	Anatomy
DOID:5334	paraphimosis	Disease
6157	RPL27A	Gene
CHEMBL1743057	CHEMBL1743057	Compound
8687	KRT38	Gene
4313	MMP2	Gene
159091	FAM122C	Gene
CHEBI:51372	neuromuscular agent	PharmacologicClass
DB08981	Fenbufen	Compound
DOID:13580	cholestasis	Disease
CHEMBL3545237	CHEMBL3545237	Compound
P27707	DCK_HUMAN	Protein
9617	MTRF1	Gene
162963	ZNF610	Gene
60676	PAPPA2	Gene
11073	TOPBP1	Gene
Q96NR8	RDH12_HUMAN	Protein
DOID:0110475	autosomal recessive nonsyndromic deafness 1A	Disease
C0021290	Neonatal disorder	SideEffect
D002273	Carcinogens	PharmacologicClass
CHEMBL1200947	CHEMBL1200947	Compound
7126	TNFAIP1	Gene
DOID:0110253	cataract 14 multiple types	Disease
DOID:10445	perforated corneal ulcer	Disease
CHEMBL3833319	CHEMBL3833319	Compound
56123	PCDHB13	Gene
DOID:3305	teratocarcinoma	Disease
C0042063	Congenital genitourinary abnormality	SideEffect
7476	WNT7A	Gene
64410	KLHL25	Gene
10915	TCERG1	Gene
201254	CENPX	Gene
23392	ECPAS	Gene
152006	RNF38	Gene
22931	RAB18	Gene
DB11581	Venetoclax	Compound
CHEMBL3301582	CHEMBL3301582	Compound
2150	F2RL1	Gene
1749	DLX5	Gene
N0000175418	Potassium-sparing Diuretic	PharmacologicClass
DOID:0060206	amyotrophic lateral sclerosis type 15	Disease
55266	TMEM19	Gene
245908	DEFB105A	Gene
CHEMBL2107315	CHEMBL2107315	Compound
158931	TCEAL6	Gene
CHEMBL3301618	CHEMBL3301618	Compound
53940	FTHL17	Gene
DB00814	Meloxicam	Compound
9245	GCNT3	Gene
CHEMBL473204	CHEMBL473204	Compound
DOID:10030	interstitial emphysema	Disease
DOID:0110414	retinitis pigmentosa 3	Disease
CHEMBL1200701	CHEMBL1200701	Compound
C0151602	Swelling face	SideEffect
64073	C19orf33	Gene
DOID:890	mitochondrial encephalomyopathy	Disease
DOID:5125	extrahepatic bile duct leiomyoma	Disease
3449	IFNA16	Gene
DOID:2273	vulvovaginitis	Disease
N0000008053	Sulfones	PharmacologicClass
CHEMBL304902	CHEMBL304902	Compound
C0027430	Nasal polyps	SideEffect
22871	NLGN1	Gene
5547	PRCP	Gene
219902	TMEM136	Gene
79741	CCDC7	Gene
23527	ACAP2	Gene
CHEMBL1201528	CHEMBL1201528	Compound
92293	TMEM132C	Gene
649	BMP1	Gene
54843	SYTL2	Gene
342618	SLFN14	Gene
DOID:13141	uveitis	Disease
9766	SUSD6	Gene
C0007117	Basal cell carcinoma	SideEffect
58478	ENOPH1	Gene
C0341503	Peritonitis bacterial	SideEffect
DOID:3534	Lafora disease	Disease
57054	DAZ3	Gene
GO:1904035	regulation of epithelial cell apoptotic process	BiologicalProcess
DOID:0050133	superficial mycosis	Disease
GO:0120162	positive regulation of cold-induced thermogenesis	BiologicalProcess
N0000175918	Thyroid Hormone Synthesis Inhibitor	PharmacologicClass
29078	NDUFAF4	Gene
DB01010	Edrophonium	Compound
P54753	EPHB3_HUMAN	Protein
O15399	NMDE4_HUMAN	Protein
GO:0003823	antigen binding	MolecularFunction
DB09112	Sodium Nitrite	Compound
DOID:14374	norwegian scabies	Disease
79027	ZNF655	Gene
DOID:11450	allergic cutaneous vasculitis	Disease
5329	PLAUR	Gene
653423	SPAG11A	Gene
7407	VARS	Gene
DOID:910	occipital lobe neoplasm	Disease
D064804	Urological Agents	PharmacologicClass
DB00456	Cefalotin	Compound
Q5S007	LRRK2_HUMAN	Protein
P27361	MK03_HUMAN	Protein
3972	LHB	Gene
DOID:3093	nervous system cancer	Disease
8817	FGF18	Gene
345611	IRGM	Gene
DOID:10187	esophageal lipoma	Disease
51668	HSPB11	Gene
DOID:0090094	hypogonadotropic hypogonadism 1 with or without anosmia	Disease
27297	CRCP	Gene
23326	USP22	Gene
C0241357	Testosterone low	SideEffect
Q8NCG7	DGLB_HUMAN	Protein
C0206062	Interstitial lung disease	SideEffect
CHEMBL2108076	CHEMBL2108076	Compound
219965	OR5B17	Gene
10811	NOXA1	Gene
6130	RPL7A	Gene
UBERON:0002494	papillary muscle of heart	Anatomy
DOID:1219	dicrocoeliasis	Disease
55159	RFWD3	Gene
54991	C1orf159	Gene
440400	RNASEK	Gene
6738	RO60	Gene
9	NAT1	Gene
143098	MPP7	Gene
219482	OR5M3	Gene
378925	RNF148	Gene
8879	SGPL1	Gene
DOID:12119	hemosiderosis	Disease
91151	TIGD7	Gene
C0035333	Retinitis	SideEffect
56256	SERTAD4	Gene
3787	KCNS1	Gene
CHEMBL3545288	CHEMBL3545288	Compound
DOID:0110579	autosomal dominant nonsyndromic deafness 53	Disease
DOID:2460	anterior dislocation of lens	Disease
2583	B4GALNT1	Gene
DOID:0060218	CREST syndrome	Disease
C0020039	Hostility	SideEffect
197342	EME2	Gene
55726	INTS13	Gene
DOID:0110046	Alzheimer's disease 13	Disease
D019080	Cafe-au-Lait Spots	Symptom
DOID:8200	tertiary syphilis	Disease
55466	DNAJA4	Gene
D004396	Coloring Agents	PharmacologicClass
DOID:9351	diabetes mellitus	Disease
3936	LCP1	Gene
CHEMBL482968	CHEMBL482968	Compound
51728	POLR3K	Gene
51026	GOLT1B	Gene
1949	EFNB3	Gene
C0151936	Tendon disorder	SideEffect
DOID:5624	adenosquamous bile duct carcinoma	Disease
25878	MXRA5	Gene
57130	ATP13A1	Gene
DOID:5453	pulmonary venoocclusive disease	Disease
65251	ZNF649	Gene
286052	LOC286052	Gene
GO:1903034	regulation of response to wounding	BiologicalProcess
5475	PPEF1	Gene
79712	GTDC1	Gene
DOID:0110481	autosomal recessive nonsyndromic deafness 23	Disease
DOID:6285	heart lipoma	Disease
GO:0002396	MHC protein complex assembly	BiologicalProcess
390883	OR7G3	Gene
GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	BiologicalProcess
CHEMBL1200645	CHEMBL1200645	Compound
6786	STIM1	Gene
DOID:0110849	xeroderma pigmentosum group G	Disease
113000	RPUSD1	Gene
DOID:2076	vulvar glandular tumor	Disease
C0009443	Common cold	SideEffect
DOID:9341	urethral diverticulum	Disease
404734	ANKHD1-EIF4EBP3	Gene
C1527336	Sjogren's syndrome	SideEffect
146802	SLC47A2	Gene
51727	CMPK1	Gene
662	BNIP1	Gene
9530	BAG4	Gene
DOID:14261	fragile X syndrome	Disease
Q541P7	Q541P7_HUMAN	Protein
375484	SIMC1	Gene
CHEMBL16694	CHEMBL16694	Compound
CHEMBL2108918	CHEMBL2108918	Compound
DOID:14239	gastrointestinal tularemia	Disease
2852	GPER1	Gene
2298	FOXD4	Gene
DOID:8736	smallpox	Disease
CHEMBL1617336	CHEMBL1617336	Compound
957	ENTPD5	Gene
5745	PTH1R	Gene
PC7_6616	Prolactin receptor signaling	Pathway
C0013240	Alveolar osteitis	SideEffect
51119	SBDS	Gene
CHEMBL35033	CHEMBL35033	Compound
151056	PLB1	Gene
79649	MAP7D3	Gene
160851	DGKH	Gene
84419	C15orf48	Gene
10019	SH2B3	Gene
7378	UPP1	Gene
P35236	PTN7_HUMAN	Protein
CHEMBL2109199	CHEMBL2109199	Compound
DOID:13738	hepatic infarction	Disease
DOID:0110547	autosomal dominant nonsyndromic deafness 16	Disease
CHEMBL3545154	CHEMBL3545154	Compound
UBERON:0000310	breast	Anatomy
DOID:0110299	autosomal recessive limb-girdle muscular dystrophy type 2I	Disease
GO:0033674	positive regulation of kinase activity	BiologicalProcess
CHEMBL3544952	CHEMBL3544952	Compound
DOID:3390	palmoplantar keratosis	Disease
11001	SLC27A2	Gene
80760	ITIH5	Gene
1291	COL6A1	Gene
D004688	Encopresis	Symptom
CHEMBL1743014	CHEMBL1743014	Compound
84135	UTP15	Gene
CHEMBL3184906	CHEMBL3184906	Compound
D011141	Polyuria	Symptom
54715	RBFOX1	Gene
GO:0048207	vesicle targeting, rough ER to cis-Golgi	BiologicalProcess
CHEMBL1915540	CHEMBL1915540	Compound
DOID:12171	radial neuropathy	Disease
C0025637	Methaemoglobinaemia	SideEffect
11171	STRAP	Gene
1308	COL17A1	Gene
DOID:0110059	X-linked amelogenesis imperfecta hypoplastic/hypomaturation 2	Disease
DOID:8564	lip cancer	Disease
5111	PCNA	Gene
CHEMBL3039564	CHEMBL3039564	Compound
PC7_6747	RAF/MAP kinase cascade	Pathway
285429	DCAF4L1	Gene
283075	LOC283075	Gene
253943	YTHDF3	Gene
5422	POLA1	Gene
55556	ENOSF1	Gene
26057	ANKRD17	Gene
91966	CXorf40A	Gene
DOID:1324	lung cancer	Disease
P14867	GBRA1_HUMAN	Protein
DOID:13739	nutmeg liver	Disease
517	ATP5MC2	Gene
114793	FMNL2	Gene
338322	NLRP10	Gene
4502	MT2A	Gene
26301	GBGT1	Gene
CHEMBL2108679	CHEMBL2108679	Compound
10640	EXOC5	Gene
DOID:12333	male genital organ stricture	Disease
6259	RYK	Gene
54766	BTG4	Gene
27345	KCNMB4	Gene
3606	IL18	Gene
1808	DPYSL2	Gene
DOID:0080284	infantile epileptic encephalopathy 57	Disease
C0262397	Breast tenderness	SideEffect
P41743	KPCI_HUMAN	Protein
C0002792	Anaphylactic shock	SideEffect
CHEMBL1708	CHEMBL1708	Compound
DOID:3314	angiomyolipoma	Disease
CHEMBL1201132	CHEMBL1201132	Compound
DOID:235	colonic benign neoplasm	Disease
UBERON:0002297	cerumen	Anatomy
7316	UBC	Gene
DOID:3127	proctitis	Disease
55161	TMEM33	Gene
Q9UQL6	HDAC5_HUMAN	Protein
